Actual Flu Population,Estimated Flu Population Mean,ME
2.0,4.729167,0.1405792
4.0,6.169958,0.3443954
8.0,9.096046,0.48206228
15.000001,15.8608,0.68229324
26.0,27.438152,1.1731383
40.0,42.801098,1.7806673
49.0,53.514412,2.7612903
45.0,50.6365,3.4089193
34.0,38.84122,3.3217123
24.0,26.989826,2.495902
16.0,17.434193,1.8815721
11.0,12.1118965,1.2326767
7.0,9.155855,0.96946657
4.0,7.360101,0.857696
2.0,5.6473265,0.68057215
1.0,5.0591893,0.6863119
0.0,4.2793007,0.57253355
0.0,4.3671565,0.537933
0.0,4.0070686,0.43645516
0.0,4.7140784,0.62245446